Scenario,Nodes,Method,Train Time,Infer Time,Total Time,MSE,MAE,Incoherence,Result
XS1,62,OLS,0.0,0.0,0.0,1.0115140374938607,0.7957724079802369,0.0,
XS1,62,WLS_Struct,0.0,0.0,0.0,2.5721450727362916,1.0367526178638626,0.0,
XS1,62,MinT_Sample,1.2369279861450195,0.0,1.2369279861450195,8.812177919247357,2.334644861226561,0.0,
XS1,62,MinT_Shrink,0.19791769981384277,0.0010445117950439453,0.19896221160888672,1.0172086684653354,0.797720364860169,0.0,
XS1,62,GS_GLS,0.12907028198242188,0.0,0.12907028198242188,0.8200726880575251,0.7210637560785833,0.0,
XS2,49,OLS,0.0,0.0,0.0,0.9612075908404412,0.7761946130535301,0.0,
XS2,49,WLS_Struct,0.0,0.0005106925964355469,0.0005106925964355469,2.015943832409221,1.0053746439098021,0.0,
XS2,49,MinT_Sample,0.008442878723144531,0.0,0.008442878723144531,1.7696178243557814,1.0614024132721438,0.0,
XS2,49,MinT_Shrink,0.016249418258666992,0.0,0.016249418258666992,0.9699504846970972,0.7798068405812308,0.0,
XS2,49,GS_GLS,0.13234233856201172,0.0015022754669189453,0.13384461402893066,0.7364926960647619,0.6864308651424683,0.0,
S1,93,OLS,0.0,0.0,0.0,0.9783570383879706,0.7794698756600444,0.0,
S1,93,WLS_Struct,0.0,0.0,0.0,2.1727075292416242,1.0158275180465626,0.0,
S1,93,MinT_Sample,0.08426666259765625,0.0,0.08426666259765625,1.448949252787193,0.9625697066255567,0.0,
S1,93,MinT_Shrink,0.060546875,0.002537965774536133,0.06308484077453613,0.9830435013028638,0.7818295506593086,0.0,
S1,93,GS_GLS,0.14688682556152344,0.002713918685913086,0.14960074424743652,0.7660299057000023,0.6967330812824212,0.0,
S2,171,OLS,0.0,0.0,0.0,0.9894210753612883,0.7844808914930474,0.0,
S2,171,WLS_Struct,0.0,0.010351419448852539,0.010351419448852539,2.9441514500028676,1.06564489001997,0.0,
S2,171,MinT_Sample,0.35809755325317383,0.01626896858215332,0.37436652183532715,1.345740798111564,0.9250397273291044,0.0,
S2,171,MinT_Shrink,0.25765538215637207,0.008339166641235352,0.2659945487976074,0.9910474601957583,0.7849588933387159,0.0,
S2,171,GS_GLS,0.19428682327270508,0.005049705505371094,0.19933652877807617,0.7759149313683842,0.7002512184057982,0.0,
S3,272,OLS,0.0,0.022066116333007812,0.022066116333007812,0.9967738438625158,0.7892249418700428,0.0,
S3,272,WLS_Struct,0.0,0.005004405975341797,0.005004405975341797,3.655447100130148,1.0943286328695092,0.0,
S3,272,MinT_Sample,1.3760566711425781,0.04344820976257324,1.4195048809051514,1.276200057580628,0.8997396912984728,0.0,
S3,272,MinT_Shrink,0.9848706722259521,0.05474281311035156,1.0396134853363037,1.0025413887023435,0.7915591330459039,0.0,
